standardized_species,total_images,has_any_trait_label,has_any_mask_label
alticus saliens,1,False,True
alticus sertatus,1,False,True
aluterus monoceros,5,False,False
amanses scopas,4,False,True
amatitlania altoflava,4,False,False
ambassis kopsii,2,False,True
ambassis miops,1,False,True
ambassis natalensis,1,False,True
ambassis vachellii,1,False,True
ambloplites ariommus,1,False,True
amblychaeturichthys sciistius,1,False,True
amblycirrhitus unimacula,1,False,True
amblyeleotris diagonalis,5,False,False
amblyeleotris ogasawarensis,1,False,True
amblyeleotris rubrimarginata,3,False,True
amblyeleotris steinitzi,5,False,False
amblyeleotris sungami,1,False,True
amblyeleotris triguttata,1,False,True
amblyeleotris wheeleri,1,False,True
amblyglyphidodon aureus,1,False,True
amblyglyphidodon curacao,2,False,True
amblyglyphidodon leucogaster,1,False,True
amblyglyphidodon melanopterus,1,False,True
amblygobius buanensis,1,False,True
amblygobius bynoensis,1,False,True
amblygobius decussatus,5,False,True
amblygobius magnusi,1,False,True
amblygobius phalaena,20,False,True
amblygobius sphynx,2,False,True
amblypharyngodon chulabhornae,3,False,True
amblyraja jenseni,12,False,False
amblyrhynchotes honckenii,1,False,True
ameiurus nebulosus,4,False,False
ammocrypta beanii,1,False,True
amniataba caudavittata,1,False,True
amniataba percoides,2,False,True
amphichaetodon howensis,2,False,True
amphilius atesuensis,7,False,False
amphilophus citrinellus,20,False,False
amphilophus istlanus,5,False,True
amphiprion akindynos,1,False,True
amphiprion biaculeatus,5,False,True
amphiprion bicinctus,1,False,True
amphiprion chrysogaster,8,False,True
amphiprion chrysopterus,6,False,True
amphiprion frenatus,4,False,False
amphiprion fuscocaudatus,1,False,True
amphiprion latezonatus,1,False,True
amphiprion mccullochi,1,False,True
amphiprion ocellaris,6,False,True
amphiprion omanensis,2,False,True
amphiprion pacificus,1,False,True
amphiprion perideraion,5,False,True
amphiprion tricinctus,6,False,True
anabas cobojius,1,False,True
anabas testudineus,6,False,True
anablepsoides beniensis,1,False,True
anablepsoides ornatus,1,False,True
anablepsoides waimacui,1,False,True
anaecypris punica,3,False,True
anampses cuvier,8,False,True
anampses lineatus,1,False,True
anampses melanurus,8,False,True
anarhichas lupus,5,False,True
anchoa cubana,1,False,True
anchoa mitchilli,4,False,True
anchoa scofieldi,1,False,True
anchoa spinifer,6,False,True
ancistrus gymnorhynchus,11,False,False
ancistrus occidentalis,10,False,False
anematichthys apogon,10,False,True
anematichthys armatus,5,False,False
anoplopoma fimbria,1,False,True
antennablennius australis,2,False,True
antennablennius simonyi,1,False,True
antennarius commerson,4,False,False
antennarius pictus,5,False,False
antigonia capros,5,False,True
antrostomus arizonae,8,False,True
apareiodon affinis,1,False,True
aperioptus gracilentus,6,False,False
aphareus rutilans,1,False,True
aphyocypris chinensis,4,False,False
aphyolebias peruensis,1,False,True
aphyosemion louessense,1,False,True
apistogramma linkei,8,False,False
apistus,1,False,True
aploactisoma milesii,1,False,True
aplocheilus panchax,4,False,True
aplochiton,1,False,True
aplochiton marinus,5,False,True
aplodactylus etheridgii,1,False,True
aplodactylus punctatus,1,False,True
apogon americanus,1,False,True
apogon caudicinctus,6,False,True
apogon coccineus,5,False,True
apogon crassiceps,2,False,True
apogon ellioti,1,False,True
apogon norfolcensis,3,False,True
apogon oxina,4,False,False
apogon pallidofasciatus,1,False,True
apogon phenax,2,False,True
apogon rubrifuscus,1,False,True
apogon semiornatus,5,False,True
apogon susanae,2,False,True
apogonichthyoides melas,2,False,True
apogonichthyoides taeniatus,2,False,True
apogonichthyoides timorensis,6,False,True
apogonichthys perdix,6,False,True
apolemichthys griffisi,1,False,True
apolemichthys xanthopunctatus,2,False,True
apteronotus bonapartii,4,False,False
arapaima gigas,2,False,True
archamia leai,1,False,True
archamia mozambiquensis,1,False,True
archamia pallida,1,False,True
archocentrus spinosissimus,5,False,True
arcygobius baliurus,1,False,True
argentina aliceae,3,False,True
argentina georgei,1,False,True
argyropelecus lychnus,1,False,True
argyropelecus olfersii,1,False,True
argyrops bleekeri,4,False,False
ariidae,1,False,True
ariopsis felis,2,False,True
arius gagora,8,False,True
arius madagascariensis,1,False,True
arothron manilensis,1,False,True
arothron mappa,2,False,True
arothron stellatus,9,False,True
arripis georgianus,1,False,True
aseraggodes borehami,1,False,True
aspidontus taeniatus,7,False,True
astatoreochromis alluaudi,4,False,True
astatoreochromis straeleni,7,False,True
astatotilapia,1,False,True
astatotilapia tchadensis,1,False,True
asterorhombus cocosensis,2,False,True
asterorhombus intermedius,1,False,True
asterropteryx spinosa,1,False,True
astrapogon puncticulatus,2,False,True
astroblepus eigenmanni,12,False,False
astroblepus festae,10,False,False
astroblepus guentheri,14,False,False
astroblepus simonsii,9,False,False
astroblepus vaillanti,4,False,False
astronesthes bilobatus,1,False,True
astronesthes boulengeri,1,False,True
astronesthes haplophos,1,False,True
astronesthes indicus,1,False,True
astronesthes lamellosus,1,False,True
astronesthes leucopogon,1,False,True
astronesthes martensii,2,False,True
astronesthes niger,4,False,True
astronesthes similus,1,False,True
astroscopus y-graecum,1,False,True
astyanax bimaculatus,2,False,True
astyanax leopoldi,12,False,True
astyanax mexicanus,3,False,True
astyanax nasutus,4,False,False
astyanax orthodus,10,False,False
astyanax superbus,1,False,True
astyanax villwocki,10,False,False
atherina,1,False,True
atherina lopeziana,13,False,False
atherinella blackburni,1,False,True
atherinella meeki,1,False,True
atherinella venezuelae,1,False,True
atherinomorus duodecimalis,4,False,True
atherinomorus lacunosus,2,False,True
atherinomorus stipes,4,False,True
atherion maccullochi,1,False,True
atrobucca nibe,1,False,True
atule mate,5,False,False
auchenipterichthys longimanus,5,False,True
auchenopterus guppyi,1,False,True
aulixidens eugeniae,1,False,True
aulonocara koningsi,8,False,True
aulonocara maylandi,8,False,False
aulopareia polynema,1,False,True
aulorhynchus flavidus,1,False,True
aulotrachichthys heptalepis,2,False,True
aurigequula fasciata,1,False,True
auriglobus nefastus,9,False,True
australoheros autochthon,4,False,False
austrolebias carvalhoi,1,False,True
auxis rochei,8,False,True
awaous,5,False,False
awaous flavus,1,False,True
awaous ocellaris,1,False,True
azurina intercrusma,6,False,False
azurina lepidolepis,1,False,True
badis badis,4,False,True
badis chittagongis,1,False,True
bagre bagre,1,False,True
bagrus degeni,9,False,False
bairdiella ronchus,9,False,True
baldwinella vivanus,1,False,True
balistoides conspicillum,5,False,True
balitora,7,False,False
balitora burmanica,7,False,False
balitoropsis zollingeri,10,False,True
bangana discognathoides,1,False,True
barbichthys laevis,3,False,True
barbodes binotatus,8,False,False
barbodes disa,1,False,True
barbodes lindog,1,False,True
barbodes rhombeus,8,False,False
barbonymus altus,1,False,True
barbonymus balleroides,1,False,True
barbonymus gonionotus,9,False,False
barbus barbus,4,False,True
barbus bynni,3,False,True
barbus luapulae,7,False,False
barbus meridionalis,1,False,True
barbus oxyrhynchus,19,False,True
barbus sacratus,1,False,True
barbus wurtzi,1,False,True
barilius,1,False,True
barilius vagra,1,False,True
basilichthys australis,1,False,True
basilichthys semotilus,1,False,True
bathyclupea schroederi,1,False,True
bathygobius laddi,1,False,True
bathygobius meggitti,7,False,True
bathygobius niger,1,False,True
bathygobius soporator,6,False,True
bathylagichthys greyae,2,False,True
bathylagoides wesethi,4,False,True
bathylychnops chilensis,1,False,True
bathypterois,1,False,True
bathypterois dubius,14,False,True
bathypterois ventralis,1,False,True
bathystethus cultratus,11,False,False
batrochoglanis raninus,1,False,True
batrochoglanis transmontanus,16,False,True
bellator farrago,1,False,True
belone belone,1,False,True
belone svetovidovi,1,False,True
benthosema pterotum,10,False,True
beryx decadactylus,2,False,True
betta anabatoides,1,False,True
betta balunga,1,False,True
betta macrostoma,1,False,True
betta picta,1,False,True
bivibranchia velox,1,False,True
blenniella bilitonensis,6,False,False
blenniella interrupta,1,False,True
blenniella leopardus,1,False,True
blenniella periophthalmus,9,False,True
bodianus anthioides,1,False,True
bodianus busellatus,2,False,True
bodianus izuensis,1,False,True
bodianus neilli,2,False,True
bodianus perditio,1,False,True
bodianus rufus,2,False,True
bodianus sanguineus,1,False,True
boehlkea fredcochui,1,False,True
bolbometopon muricatum,4,False,False
bolinichthys distofax,1,False,True
boops boops,9,False,True
boops lineatus,1,False,True
bothus constellatus,4,False,False
bothus mancus,6,False,True
botia almorhae,1,False,True
botia tigrinus,1,False,True
boulengeromyrus knoepffleri,1,False,True
brachaluteres ulvarum,1,False,True
brachyistius frenatus,1,False,True
brachypetersius notospilus,9,False,False
brachypetersius pseudonummifer,4,False,True
branchiostegus argentatus,1,False,True
brephostoma carpenteri,1,False,True
breviraja claramaculata,5,False,False
breviraja colesi,6,False,False
brienomyrus brachyistius,1,False,True
brotula multibarbata,4,False,False
brycinus carolinae,1,False,True
brycon atrocaudatus,1,False,True
brycon henni,1,False,True
brycon orbignyanus,1,False,True
bryconacidnus paipayensis,4,False,False
bryconamericus brevirostris,1,False,True
bryconamericus stramineus,4,False,False
bufoceratias wedli,1,False,True
bunaka gyrinoides,5,False,True
butis gymnopomus,1,False,True
bythaelurus clevai,12,False,False
caesio striata,3,False,True
caesio suevica,1,False,True
caesio varilineata,1,False,True
caesio xanthonota,2,False,True
caesioperca lepidoptera,2,False,True
callichthys callichthys,8,False,True
callionymus decoratus,4,False,False
callionymus marquesensis,1,False,True
callionymus superbus,1,False,True
callochromis pleurospilus,12,False,False
callogobius hasseltii,1,False,True
callogobius okinawae,1,False,True
callogobius sclateri,3,False,True
calotomus japonicus,7,False,True
calotomus viridescens,4,False,False
campostoma ornatum,4,False,True
campylomormyrus luapulaensis,3,False,True
campylomormyrus phantasticus,1,False,True
cantherhines cerinus,1,False,True
cantherhines nukuhiva,1,False,True
cantherhines sandwichiensis,3,False,True
canthigaster bennetti,1,False,True
canthigaster compressa,3,False,True
canthigaster coronata,5,False,True
canthigaster criobe,1,False,True
canthigaster cyanetron,1,False,True
canthigaster epilampra,1,False,True
canthigaster leoparda,1,False,True
canthigaster margaritata,1,False,True
canthigaster ocellicincta,1,False,True
canthigaster papua,1,False,True
canthigaster pygmaea,5,False,True
canthigaster rapaensis,3,False,True
canthigaster smithae,1,False,True
canthigaster valentini,1,False,True
capoeta aculeata,1,False,True
capoeta damascina,2,False,True
capoetobrama kuschakewitschi,1,False,True
caprodon schlegelii,6,False,True
caracanthus madagascariensis,1,False,True
caracanthus unipinna,2,False,True
carangoides armatus,1,False,True
carangoides bajad,6,False,True
carangoides chrysophrys,2,False,True
carangoides coeruleopinnatus,5,False,True
carangoides equula,1,False,True
carangoides ferdau,1,False,True
carangoides fulvoguttatus,1,False,True
carangoides plagiotaenia,2,False,True
carangoides praeustus,1,False,True
caranx caballus,1,False,True
caranx tille,2,False,True
carasobarbus apoensis,4,False,False
carasobarbus harterti,4,False,True
carinotetraodon travancoricus,4,False,False
carlhubbsia stuarti,16,False,False
carnegiella myersi,1,False,True
carnegiella schereri,1,False,True
carnegiella strigata,1,False,True
carpiodes damalis,5,False,False
cathorops fuerthii,1,False,True
cathorops nuchalis,1,False,True
cathorops steindachneri,1,False,True
cathorops taylori,1,False,True
catostomus,1,False,True
catostomus arenarius,5,False,True
catostomus bernardini,5,False,False
catostomus generosus,5,False,True
catostomus guzmaniensis,5,False,False
catostomus latipinnis,8,False,False
catostomus microps,5,False,False
catostomus occidentalis,1,False,True
catostomus occidentalis mniotiltus,4,False,False
catostomus plebeius,5,False,False
catostomus pocatello,1,False,True
catostomus rimiculus,7,False,False
catostomus santaanae,4,False,True
catostomus tahoensis,5,False,False
catostomus tsiltcoosensis,5,False,True
catostomus utawana,9,False,True
catostomus virescens,4,False,False
catostomus warnerensis,5,False,True
caulolatilus princeps,1,False,True
centriscus scutatus,1,False,True
centrodraco rubellus,1,False,True
centropomus ensiferus,2,False,True
centropomus medius,1,False,True
centropomus mexicanus,2,False,True
centropomus parallelus,2,False,True
centropomus pectinatus,4,False,True
centropomus undecimalis,5,False,False
centropyge boylei,2,False,True
centropyge ferrugata,1,False,True
centropyge nigriocella,1,False,True
centropyge tibicen,1,False,True
centropyge venusta,1,False,True
cephalocassis jatia,1,False,True
cephalopholis boenak,5,False,True
cephalopholis cruentata,1,False,True
cephalopholis fulva,5,False,True
cephalopholis hemistiktos,4,False,False
cephalopholis microprion,3,False,True
cephalopholis polleni,6,False,True
cephalopholis taeniops,1,False,True
cepola pauciradiata,1,False,True
cetomimus teevani,1,False,True
cetoscarus bicolor,7,False,False
chaenogobius gulosus,1,False,True
chaenopsis alepidota,1,False,True
chaenopsis megalops,1,False,True
chaetodipterus faber,1,False,True
chaetodon aureofasciatus,1,False,True
chaetodon auripes,1,False,True
chaetodon bennetti,1,False,True
chaetodon collare,1,False,True
chaetodon daedalma,1,False,True
chaetodon falcula,1,False,True
chaetodon guttatissimus,2,False,True
chaetodon lunulatus,2,False,True
chaetodon mertensii,4,False,True
chaetodon meyeri,2,False,True
chaetodon modestus,1,False,True
chaetodon multicinctus,2,False,True
chaetodon quadrimaculatus,2,False,True
chaetodon selene,1,False,True
chaetodon speculum,1,False,True
chaetodon trichrous,1,False,True
chaetodon tricinctus,1,False,True
chaetodon trifascialis,3,False,True
chaetodon wiebeli,1,False,True
chaetodontoplus conspicillatus,1,False,True
chaetodontoplus melanosoma,1,False,True
chaetostoma breve,9,False,False
chaetostoma dermorhynchum,4,False,False
chaetostoma lepturum,6,False,False
chaetostoma marginatum,4,False,False
chaetostoma microps,13,False,False
chaetostoma thomsoni,4,False,False
chalceus macrolepidotus,1,False,True
chapalichthys encaustus,1,False,True
characidium brevirostre,2,False,True
characidium chupa,1,False,True
characidium fasciatum,4,False,True
characidium phoxocephalum,1,False,True
characodon lateralis,1,False,True
charax caudimaculatus,1,False,True
chasmocranus quadrizonatus,1,False,True
chasmodes bosquianus,1,False,True
chauliodus macouni,1,False,True
chaunacops coloratus,5,False,False
chaunax nudiventer,6,False,False
chaunax reticulatus,4,False,False
chaunax suttkusi,4,False,False
cheilinus undulatus,1,False,True
cheilodactylus,1,False,True
cheilodactylus plessisi,3,False,True
cheilodactylus spectabilis,1,False,True
cheilodipterus arabicus,1,False,True
cheilodipterus lachneri,1,False,True
cheilodipterus pygmaios,1,False,True
cheilodipterus quinquelineatus,1,False,True
cheilodipterus singapurensis,1,False,True
cheilopogon abei,1,False,True
cheilopogon arcticeps,1,False,True
cheilopogon papilio,1,False,True
cheilopogon spilonotopterus,2,False,True
cheilopogon suttoni,1,False,True
cheiloprion labiatus,1,False,True
cheimerius nufar,1,False,True
chelmon marginalis,5,False,False
chelmon muelleri,1,False,True
chelmon rostratus,1,False,True
chelmonops truncatus,1,False,True
chelon auratus,1,False,True
chilara taylori,4,False,False
chilobrycon deuterodon,2,False,True
chiloglanis cameronensis,16,False,False
chiloglanis kabaensis,7,False,False
chiloglanis micropogon,9,False,False
chiloglanis nzerekore,8,False,False
chiloglanis polypogon,4,False,False
chiloglanis sanagaensis,9,False,False
chilomycterus reticulatus,2,False,True
chiloscyllium griseum,4,False,False
chiloscyllium punctatum,4,False,False
chilotilapia rhoadesii,1,False,True
chirodactylus brachydactylus,1,False,True
chirodactylus jessicalenorum,1,False,True
chirolophis japonicus,4,False,False
chironemus marmoratus,1,False,True
chirostoma lucius,5,False,True
chitala blanci,6,False,True
chitala chitala,1,False,True
chitala ornata,7,False,False
chlaenius elongatus,1,False,True
chlidichthys cacatuoides,1,False,True
chlidichthys inornatus,5,False,True
chlorophthalmus agassizi,1,False,True
chloroscombrus chrysurus,4,False,False
chlorurus frontalis,7,False,True
chlorurus genazonatus,4,False,False
chlorurus japanensis,1,False,True
chlorurus perspicillatus,8,False,True
chlorurus spilurus,2,False,True
chlorurus strongylocephalus,1,False,True
chlorurus troschelii,4,False,False
choerodon anchorago,5,False,True
choerodon cyanodus,4,False,False
choerodon fasciatus,8,False,True
choerodon graphicus,5,False,False
choerodon jordani,1,False,True
choerodon oligacanthus,2,False,True
choerodon robustus,7,False,True
choerodon venustus,1,False,True
choerodon vitta,1,False,True
choridactylus lineatus,4,False,False
chromidotilapia guntheri,6,False,True
chromis alpha,6,False,True
chromis chrysura,2,False,True
chromis circumaurea,11,False,False
chromis flavomaculata,1,False,True
chromis multilineata,7,False,True
chromis notata,1,False,True
chromis opercularis,2,False,True
chromis ovalis,9,False,False
chromis vanderbilti,1,False,True
chromis viridis,1,False,True
chromis weberi,5,False,True
chromis xanthopterygia,1,False,True
chrosomus cumberlandensis,13,False,False
chrysichthys ornatus,4,False,False
chrysichthys platycephalus,6,False,False
chrysichthys sianenna,5,False,False
chrysiptera annulata,1,False,True
chrysiptera brownriggii,6,False,True
chrysiptera glauca,2,False,True
chrysiptera springeri,1,False,True
chrysiptera tricincta,1,False,True
chrysobrycon hesperus,1,False,True
cichla ocellaris,10,False,True
cichlasoma bimaculatum,6,False,False
cichlasoma boliviense,5,False,False
cichlasoma urophthalmum,5,False,False
cirrhilabrus adornatus,1,False,True
cirrhilabrus bathyphilus,1,False,True
cirrhilabrus cyanopleura,2,False,True
cirrhilabrus filamentosus,1,False,True
cirrhilabrus johnsoni,2,False,True
cirrhilabrus jordani,1,False,True
cirrhilabrus lineatus,1,False,True
cirrhilabrus punctatus,5,False,True
cirrhilabrus rubrimarginatus,10,False,True
cirrhilabrus rubriventralis,2,False,True
cirrhilabrus sanguineus,1,False,True
cirrhinus jullieni,1,False,True
cirrhinus mrigala,2,False,True
cirrhitichthys aprinus,1,False,True
cirrhitichthys bleekeri,5,False,True
cirrhitichthys falco,4,False,False
cirrhitops fasciatus,6,False,True
cirrhitops hubbardi,1,False,True
cirripectes auritus,1,False,True
cirripectes fuscoguttatus,2,False,True
cirripectes imitator,1,False,True
cirripectes jenningsi,1,False,True
cirripectes polyzona,1,False,True
cirripectes randalli,1,False,True
cirripectes springeri,1,False,True
citharichthys cornutus,1,False,True
citharichthys gordae,1,False,True
citharichthys spilopterus,9,False,False
citharinops distichodoides,1,False,True
citharoides macrolepidotus,4,False,False
claea dabryi,10,False,False
clarias brachysoma,5,False,True
clarias dhonti,3,False,True
clarias gariepinus,3,False,True
clarias magur,1,False,True
cleidopus gloriamaris,1,False,True
clinocottus acuticeps,1,False,True
clinocottus analis,4,False,False
clinostomus vandoisulus,1,False,True
clinus superciliosus,1,False,True
clupeacharax anchoveoides,1,False,True
clypeobarbus hypsolepis,2,False,True
cobitis hellenica,5,False,False
cobitis sinensis,4,False,False
cobitis stephanidisi,4,False,False
coelorinchus sereti,8,False,True
coelorinchus vityazae,3,False,True
coilia dussumieri,4,False,False
cololabis adocetus,1,False,True
congochromis sabinae,4,False,True
congrogadus,1,False,True
congrogadus subducens,5,False,False
cookeolus japonicus,6,False,True
cooperia,5,False,True
copadichromis azureus,9,False,True
copadichromis pleurostigma,1,False,True
copadichromis pleurostigmoides,6,False,True
copadichromis trimaculatus,4,False,True
copadichromis verduyni,8,False,True
copeina guttata,1,False,True
copella metae,1,False,True
coptodon louka,2,False,True
coptodon rheophila,4,False,False
coptodon tholloni,2,False,True
coptodon zillii,14,False,True
coradion altivelis,1,False,True
coranthus polyacanthus,1,False,True
coregonus lavaretus,9,False,True
coris aygula,7,False,True
coris batuensis,8,False,True
coris cuvieri,1,False,True
coris hewetti,20,False,True
coris marquesensis,1,False,True
coris musume,1,False,True
coris sandeyeri,6,False,True
corydoras aeneus,1,False,True
corydoras concolor,1,False,True
corydoras geryi,1,False,True
corydoras metae,1,False,True
corydoras osteocarus,1,False,True
corydoras potaroensis,1,False,True
corydoras semiaquilus,1,False,True
corydoras septentrionalis,1,False,True
corydoras sychri,1,False,True
corydoras trilineatus,1,False,True
coryogalops anomolus,2,False,True
coryogalops bulejiensis,1,False,True
coryogalops monospilus,2,False,True
corythoichthys amplexus,4,False,False
corythoichthys haematopterus,7,False,False
corythoichthys schultzi,6,False,False
cosmocampus banneri,4,False,False
cosmochilus harmandi,6,False,False
cottus,11,False,False
couesius plumbeus,2,False,True
cranoglanis bouderius,2,False,True
creagrutus affinis,1,False,True
crenichthys nevadae,1,False,True
crenicichla albopunctata,2,False,True
crenicichla johanna,1,False,True
crenicichla lacustris,1,False,True
crenicichla multispinosa,5,False,True
crenicichla saxatilis,1,False,True
crenicichla semicincta,6,False,False
crenicichla ternetzi,1,False,True
crenuchus spilurus,1,False,True
crinodus lophodon,2,False,True
cristacirrhitus punctatus,1,False,True
cromileptes altivelis,6,False,False
crossocheilus barbatulus,1,False,True
crossocheilus cobitis,7,False,True
crossocheilus langei,4,False,False
crossocheilus oblongus,2,False,True
cryptarius truncatus,1,False,True
cryptocentrus caeruleomaculatus,2,False,True
cryptocentrus caeruleopunctatus,1,False,True
cryptocentrus cryptocentrus,1,False,True
cryptocentrus fasciatus,10,False,False
cryptocentrus insignitus,1,False,True
cryptocentrus lutheri,7,False,True
cryptoheros spilurus,1,False,True
ctenochaetus hawaiiensis,2,False,True
ctenogobiops crocineus,1,False,True
ctenogobiops feroculus,1,False,True
ctenogobiops tangaroai,4,False,False
ctenogobiops tongaensis,1,False,True
cubiceps capensis,1,False,True
cubiceps gracilis,1,False,True
curimata aspera,1,False,True
curimata ocellata,1,False,True
curimatella alburna,1,False,True
curimatella immaculata,1,False,True
cyathochromis obliquidens,2,False,True
cyclichthys hardenbergi,1,False,True
cyclothone signata,4,False,False
cymbacephalus beauforti,1,False,True
cymolutes lecluse,1,False,True
cymolutes torquatus,3,False,True
cynodon meionactis,1,False,True
cynodonichthys pacificus,1,False,True
cyphocharax leucostictus,1,False,True
cyphocharax magdalenae,1,False,True
cyphocharax santacatarinae,1,False,True
cyphomyrus discorhynchus,1,False,True
cyprinella analostana,11,False,False
cyprinella caerulea,13,False,False
cyprinella callisema,12,False,False
cyprinella galactura,826,False,False
cyprinella gibbsi,5,False,True
cyprinella lutrensis,267,False,True
cyprinella panarcys,10,False,False
cyprinella spiloptera,1304,False,False
cyprinella stigmatura,4,False,False
cyprinella trichroistia,12,False,True
cyprinella venusta,55,False,True
cyprinella whipplei,144,False,False
cyprinodon variegatus,8,False,False
cypselurus,1,False,True
dactyloptena macracantha,1,False,True
dactylopus dactylopus,1,False,True
dagetichthys commersonnii,1,False,True
dalatias licha,5,False,False
dallia pectoralis,1,False,True
danio albolineatus,1,False,True
dascyllus marginatus,1,False,True
dascyllus trimaculatus,2,False,True
daysciaena albida,6,False,False
decapterus kurroides,1,False,True
decapterus russelli,2,False,True
dendrochirus brachypterus,1,False,True
dendrophysa russelii,3,False,True
dentex maroccanus,9,False,True
dentex tumifrons,2,False,True
denticeps clupeoides,10,False,True
dermatopsis greenfieldi,1,False,True
dermogenys collettei,1,False,True
dermogenys siamensis,5,False,True
devario laoensis,7,False,False
devario regina,4,False,False
diancistrus atollorum,1,False,True
diancistrus beateae,1,False,True
diancistrus katrineae,1,False,True
dianema longibarbis,1,False,True
diaphus chrysorhynchus,1,False,True
diapoma guarani,1,False,True
diapterus auratus,1,False,True
diapterus brevirostris,1,False,True
dibranchus tremendus,4,False,False
dichistius multifasciatus,1,False,True
dictya texensis,8,False,True
dinoperca petersi,2,False,True
diodon hystrix,2,False,True
dionda argentosa,9,False,True
dionda couchi,7,False,False
dionda episcopa,7,False,False
diplectrum euryplectrum,1,False,True
diplectrum formosum,6,False,False
diplocheilichthys pleurotaenia,1,False,True
diplodus prayensis,1,False,True
diplogrammus goramensis,1,False,True
diplomystes chilensis,1,False,True
diplophos australis,1,False,True
dipturus batis,4,False,False
dischistodus chrysopoecilus,1,False,True
dischistodus melanotus,1,False,True
dischistodus prosopotaenia,9,False,True
dolicholagus longirostris,1,False,True
dunckerocampus multiannulatus,5,False,False
dysalotus alcocki,1,False,True
earias sauteri,12,False,True
echidna nebulosa,7,False,False
ecsenius,1,False,True
ecsenius fourmanoiri,2,False,True
ecsenius isos,1,False,True
ecsenius paroculus,1,False,True
ecsenius pictus,1,False,True
elassoma evergladei,4,False,True
elassoma zonatum,1,False,True
electrona antarctica,1,False,True
eleotris amblyopsis,1,False,True
eleotris fusca,1,False,True
eleotris sandwicensis,1,False,True
ellochelon vaigiensis,8,False,True
ellopostoma mystax,1,False,True
elops hawaiensis,5,False,True
emblemaria pandionis,1,False,True
emblemariopsis signifer,1,False,True
emmelichthys karnellai,2,False,True
emmelichthys struhsakeri,1,False,True
enchelycore lichenosa,4,False,False
engraulis encrasicolus,5,False,True
engyprosopon arenicola,1,False,True
engyprosopon latifrons,1,False,True
enneapterygius etheostomus,5,False,True
enneapterygius genamaculatus,1,False,True
enneapterygius hollemani,1,False,True
enneapterygius nanus,1,False,True
enneapterygius niger,1,False,True
enneapterygius nigricauda,1,False,True
enneapterygius randalli,3,False,True
enneapterygius rufopileus,5,False,True
enneapterygius tutuilae,1,False,True
enteromius anniae,13,False,False
enteromius arambourgi,1,False,True
enteromius baudoni,1,False,True
enteromius bigornei,13,False,False
enteromius cadenati,1,False,True
enteromius chlorotaenia,12,False,False
enteromius ditinensis,3,False,True
enteromius holotaenia,2,False,True
enteromius huguenyi,13,False,False
enteromius kissiensis,12,False,False
enteromius lineomaculatus,1,False,True
enteromius manicensis,1,False,True
enteromius owenae,13,False,False
enteromius punctitaeniatus,4,False,True
enteromius radiatus,46,False,True
enteromius stauchi,6,False,True
enteromius sublineatus,4,False,True
enteromius teugelsi,3,False,True
enteromius zalbiensis,1,False,True
entomacrodus chiostictus,1,False,True
entomacrodus cymatobiotus,1,False,True
entomacrodus decussatus,7,False,True
entomacrodus epalzeocheilos,2,False,True
